NAME,Nov 1992,Nov 1993,Nov 1994,Nov 1995,Nov 1996,Nov 1997,Nov 1998,Nov 1999,Nov 2000,Nov 2001,Nov 2002,Nov 2003,Nov 2004,Nov 2005,Nov 2006,Nov 2007,Nov 2008,Nov 2009,Nov 2010,Nov 2011,Nov 2012,Nov 2013,Nov 2014,Nov 2015,Nov 2016,Nov 2017,Nov 2018,Nov 2019,Nov 2020,Nov 2021
ALTON ,17.25,7.39,78.96,7.89,9.54,10.08,4.72,6.13,7.14,3.32,8.37,8.96,19.08,52.83,27.53,11.29,8.29,7.44,21.46,7.56,5.21,4.94,6.92,10.62,14.6,4.09,13.23,11.86,5.43,7.08
BLACK_ROCK ,4.6,3.91,6.06,2.52,5.6,4.72,5.21,3.98,4.12,3.03,4.06,7.02,6.47,0.3,1.87,2.88,5,5.76,6.41,2.86,4.95,3.92,3.35,3.17,7.21,4.29,6.42,4.94,3.07,3.3
BLANDING ,12.93,6.13,28.83,1.83,10.08,6.92,6.11,6.67,7.37,3.68,7.23,7.74,,18.32,6.68,11.23,5.76,12.1,5.25,5.28,4.59,3.99,6.53,6.29,4.93,1.47,10.1,3.27,3.31,2.36
BLUFF ,8.14,2.58,2.92,1.01,4.81,1.86,2.01,2.53,3.6,,3,3.83,6.72,4.88,1.13,4.63,2.72,5.86,1.92,1.94,3.15,1.95,4.69,3.87,3.87,0.52,4.98,2.61,2.3,2.36
BOULDER ,8.99,2.87,33.07,1.44,5.34,4.74,2.87,2.51,5.5,1.19,3.76,6.26,12.36,32.97,18.69,4.27,4.16,8.74,5.11,3.59,3.75,3.54,5.13,4.5,7.12,1.65,6.92,7.05,3.05,1.58
BOUNTIFUL_BENCH ,21.54,15.54,82.23,27.87,19.83,22.64,18.27,15.01,16.57,18.08,12.37,19.34,19.49,118.07,30.29,14.94,21.41,14.41,26.78,14.7,15.68,13.67,12.26,18.26,26.75,14.72,22.34,12.69,10.41,11.42
CALLAO ,4.94,3.08,7.65,2.22,3.86,4.65,2.74,1.51,2.67,1.53,2.37,2.87,5.66,1.77,0.95,1.89,3.43,2.53,6.43,1.67,3.65,2.66,1.68,4.11,4.41,1.52,5.09,3.13,3.06,3.06
CANYONLANDS_THE_NECK ,4.52,1.83,6.99,1.98,3.04,4.3,3.68,4.56,4.13,2.54,1.82,5.16,4.15,15.06,14.24,5.06,2.45,4.65,2.66,1.84,3.08,3.03,3.25,4.77,3.16,2.5,5.11,4.1,2.69,2.38
DEER_CREEK_DAM ,18.05,11.03,21.64,13.98,25.7,16.68,13.45,13.68,8.1,9.9,9.57,12.4,20.7,31.75,39.33,,14.84,7.49,20.56,8.69,7.89,11.04,7.51,12.43,26.63,8.6,18.88,7.82,8.28,9.01
DESERET ,4.32,4.15,17.9,3.2,4.5,5.25,4.67,4.27,2.98,3.75,3.53,4.66,7.21,16.92,15.37,3.23,3.41,5.55,5.03,3.24,5.17,nan,1.95,3.97,7.71,3.47,5.76,3.61,3.48,2.65
ECHO_DAM ,8.53,5.92,42.76,13.16,10.6,6.06,7.31,6.58,5.94,6.53,5.69,6.91,7.14,60.71,32.39,6.79,8.15,5.55,12.5,5.65,6.53,6.96,6.02,8.88,14.23,6.49,9.43,5.94,5.47,7.55
EPHRAIM ,9.75,7.88,1.93,5.96,8.75,6.69,6.97,6.24,5.91,5.02,6.67,7.1,5.82,33.19,20.81,4.75,5.12,4.98,8.01,4.5,4.71,4.48,3.35,3.65,6.82,3.72,5.61,2.75,2.32,2.42
ESCALANTE ,9.27,2.09,24.75,1.15,4.8,3.74,2.63,2.07,4.65,0.96,1.33,4.71,10.88,15.65,6.59,4.07,3.5,6.83,4.84,3.44,2.55,4.04,4.84,4.13,6.18,1.37,6.16,6.06,2.96,0.99
HANS_FLAT_RANGER_STATION ,5.39,3.34,40.7,2.27,5.19,3.38,4.87,3.21,6.18,3,3.12,5.63,6.45,25.85,18.67,4.85,5.28,6.1,4.86,3.29,3.63,3.87,4.44,5.32,4.16,2.78,5.53,4.85,2.62,1.59
JENSEN ,6.16,2.16,7.02,2.59,4.78,4.24,4.5,4.52,2.52,1.96,2.74,2.95,5.19,9.52,8.46,4.64,4.93,4.46,5.51,1.42,3.25,2.88,2.46,3.96,4.32,1.46,5.33,3.71,3.51,2.96
KAMAS ,12.65,7.34,65.21,22.59,11.94,7.35,8.54,7.02,6.42,nan,7.25,6.29,11.27,63.59,34.29,,,nan,,5.45,7.62,6.48,5,nan,6.83,7.38,8.69,7.72,5.87,nan
KANAB ,14.5,7.21,26.66,10.58,11.11,12.3,6.6,6.4,8.83,3.43,11.24,8.08,15.02,10.74,5.69,8.75,5.38,8.78,,4.32,4.07,3.14,7.5,5.46,10.36,4.01,9.8,9.46,3.24,4.18
MANTI ,9.25,6.23,48.55,10.04,8.82,7.05,6.23,5.89,6.58,5.62,6.79,7.6,5.96,12.07,13.99,6.77,7.02,7.8,10.41,5.69,7.33,6.22,6.06,7.53,9.24,4.89,8.82,6.22,4.6,5.73
NEPHI ,11.81,8.26,19.23,7.66,10.92,9.33,8.36,9.13,6.36,7.17,9.11,8.4,10.43,29.21,13.52,,7.15,5.8,8.77,5.98,4.74,4.95,2.27,6.66,13.51,5.72,14.32,7.32,6.1,3.27
PROVO_BYU ,15.6,8.77,39.35,15.16,13.06,13.76,11.08,8.92,7.85,9.02,7.27,11.95,13.72,48.94,23.64,8.44,13.53,8.55,14.45,6.78,7.76,9.27,7.17,8.84,14.12,6.46,11.42,7.42,7.07,5.26
RICHMOND ,11.53,8.08,51.44,10.83,14.14,13.71,12.42,9.82,6.68,11.53,8.6,11.63,16.85,49.85,15.23,10.1,,6.91,18.48,9.6,9.97,10.95,8.21,13.78,22.34,11.17,14.98,9.17,7.37,5.83
SALT_LAKE_CITY_INTERNATIONAL_AIRPORT ,11.04,7.79,42.6,11.05,10.54,13.08,8.71,8.09,8.86,11.23,5.92,11.89,10.04,40.36,21.92,8.48,10.05,6.83,13.99,7.46,7.92,7.71,6.23,8.74,14.16,8.34,12.76,7.63,7,5.4
TOOELE ,13.72,10.49,49.81,13.15,14.39,16.86,11.29,10.22,9.68,11.61,8.2,14.28,11.77,58.92,27.22,10.02,10.28,6.85,15.02,8.27,11.65,9.29,5.49,11.49,15.74,8.16,13.19,6.4,5.93,6.38
WANSHIP_DAM ,8.3,5.78,46.44,18.72,10.51,5.88,8.4,5.37,,7.98,8.38,7.7,8.13,64.49,32.02,7.64,9.36,7.41,15.77,6.7,7.77,7.18,6.13,9.32,14.41,6.63,9.57,7.41,6.3,6.85
WOODRUFF ,4.75,3.36,38.9,5.66,5.41,4.85,4.94,2.6,2.93,3.56,2.2,3.68,5.74,21.65,18.29,2.61,3.04,2.09,6.75,1.72,3.42,2.58,2,3.52,7.94,3.87,5.01,2.05,2.82,5.06
ZION_NATIONAL_PARK ,18.16,9.66,4.16,6.11,10.38,10.56,5.24,6.71,8.25,2.93,10.09,10.3,22.56,10.7,3.78,9.21,8.28,14.63,13.67,6.8,5.99,6.67,7.28,10.37,14.8,5.56,15.15,13.7,6.6,6.7
DRAINAGE_MEAN,11.87166667,7.953333333,42.27166667,13.50416667,12.575,11.2375,9.625833333,8.1625,6.838333333,8.178333333,7.244166667,9.778333333,11.745,49.10916667,24.09083333,5.909166667,8.436666667,6.201666667,13.29166667,6.889166667,7.883333333,7.728333333,5.830833333,8.835833333,15.08916667,7.421666667,12.14,7.058333333,6.306666667,5.7575
